Original Text,Redacted Text
"John Smith, 123 Main St, Springfield, IL","[REDACTED], [REDACTED], Springfield, IL"
"Please contact me at john.doe@example.com or 555-123-4567.","Please contact me at [REDACTED] or [REDACTED]."
"My Social Security Number is 123-45-6789.","My Social Security Number is [REDACTED]."
"Bank account: 987654321, Routing number: 123456789","Bank account: [REDACTED], Routing number: [REDACTED]"
"Alice's date of birth is 05/12/1985.","Alice's date of birth is [REDACTED]."
"Employee ID: E12345, Department: HR","Employee ID: [REDACTED], Department: HR"
"Passport number: X1234567","Passport number: [REDACTED]"
"Our office address is 456 Oak St, Metropolis, NY.","Our office address is [REDACTED], Metropolis, NY."
"My health insurance number is ABC123456.","My health insurance number is [REDACTED]."
"Contact emergency services at 911.","Contact emergency services at 911."
"James and his wife, Sarah, live at 789 Pine St.","James and his wife, [REDACTED], live at [REDACTED]."
"The PIN for my account is 4321.","The PIN for my account is [REDACTED]."
"Photo ID: Driver's License #D987654","Photo ID: Driver's License #[REDACTED]"
"We stayed at the Grand Hotel, room 202.","We stayed at the Grand Hotel, room 202."
"Username: johndoe, Password: securepassword123","Username: johndoe, Password: [REDACTED]"
"Jane Doe's email is jane.doe@company.com.","Jane Doe's email is [REDACTED]."
"Our meeting will be held at 555 Elm Street on July 15th.","Our meeting will be held at [REDACTED] on July 15th."
"Please remit payment to account number 112233445566.","Please remit payment to account number [REDACTED]."
"The project code is XYZ-12345 and it’s critical for our Q3 goals.","The project code is [REDACTED] and it’s critical for our Q3 goals."
"Contact Dr. Smith at the clinic, 1234 Health Ave.","Contact Dr. Smith at the clinic, [REDACTED]."
"Membership ID: M987654321, Valid through: 12/2023","Membership ID: [REDACTED], Valid through: 12/2023"
"My father’s name is Robert Johnson.","My father’s name is [REDACTED]."
"The parcel ID for my property is 98765432.","The parcel ID for my property is [REDACTED]."
"I will be on vacation from 08/01/2024 to 08/15/2024.","I will be on vacation from [REDACTED] to [REDACTED]."
"The invoice number is INV-2024-00123.","The invoice number is [REDACTED]."
"Emergency contact: Maria, 555-987-6543.","Emergency contact: Maria, [REDACTED]."
"Password reset link: https://reset.company.com?token=abc123","Password reset link: [REDACTED]"
"The conference ID is CONF2024-3456.","The conference ID is [REDACTED]."
"For security reasons, use the code 7890 at the entrance.","For security reasons, use the code [REDACTED] at the entrance."
"John and Alice were married on 06/14/2010.","John and Alice were married on [REDACTED]."
"Please review the attached file for the student ID list.","Please review the attached file for the student ID list."
"Our server IP address is 192.168.1.1.","Our server IP address is [REDACTED]."
"The shipment will arrive on tracking number 1Z9999999999999999.","The shipment will arrive on tracking number [REDACTED]."
"Alice’s medical record number is MR123456.","Alice’s medical record number is [REDACTED]."
"Your confirmation number for the booking is ABC123DEF.","Your confirmation number for the booking is [REDACTED]."
"Jane’s LinkedIn profile: linkedin.com/in/janedoe","Jane’s LinkedIn profile: [REDACTED]"
"SSN: 123-45-6789, Full Name: John Smith","SSN: [REDACTED], Full Name: John Smith"
"The loan number for your mortgage is 54321.","The loan number for your mortgage is [REDACTED]."
"Reference number: 987654","Reference number: [REDACTED]"
"The warranty ID is WTY2024-5678.","The warranty ID is [REDACTED]."
"Client’s feedback: “Excellent service!”","Client’s feedback: “Excellent service!”"
"For access, use the token ABC123DEF456.","For access, use the token [REDACTED]."
"The product key is XXXX-YYYY-ZZZZ-AAAA.","The product key is [REDACTED]."
"Your account balance as of 06/20/2024 is $1,234.56.","Your account balance as of 06/20/2024 is $1,234.56."
"John’s flight number is DL1234.","John’s flight number is [REDACTED]."
"License plate: ABC-1234, Vehicle make: Toyota","License plate: [REDACTED], Vehicle make: Toyota"
"Office phone number: 555-432-9876","Office phone number: [REDACTED]"
"Property deed ID: PD123456789","Property deed ID: [REDACTED]"
"The guest list includes: Sarah, Robert, Emily.","The guest list includes: Sarah, Robert, Emily."
"PIN: 8765, Account: 4321","PIN: [REDACTED], Account: [REDACTED]"
"The library card number is 9876543210.","The library card number is [REDACTED]."
"Please join the Zoom meeting with ID: 123-456-7890.","Please join the Zoom meeting with ID: [REDACTED]."
"User feedback form submitted by user1234.","User feedback form submitted by [REDACTED]."
"The tracking ID for your shipment is 987654321.","The tracking ID for your shipment is [REDACTED]."
"Doctor’s appointment scheduled for 09/15/2024.","Doctor’s appointment scheduled for [REDACTED]."
"Insurance claim number: IC123456","Insurance claim number: [REDACTED]"
"The serial number of the device is SN1234567890.","The serial number of the device is [REDACTED]."
"The hotel reservation is under confirmation number ABCDEF123456.","The hotel reservation is under confirmation number [REDACTED]."
"Contact number for support: 1-800-555-1234","Contact number for support: [REDACTED]"
"The meeting will start at 2:00 PM PST.","The meeting will start at 2:00 PM PST."
"Warranty registration number: WTY-987654","Warranty registration number: [REDACTED]"
"The IT department’s contact email is it_support@company.com.","The IT department’s contact email is [REDACTED]."
"Financial report for Q2, prepared by John Doe.","Financial report for Q2, prepared by John Doe."
"Software license key: ABCD-EFGH-IJKL-MNOP","Software license key: [REDACTED]."
"My passport expires on 12/31/2024.","My passport expires on [REDACTED]."
"The student’s GPA is 3.85.","The student’s GPA is 3.85."
"Please verify your identity with the code sent to your phone.","Please verify your identity with the code sent to your phone."
"The prescription number is RX9876543210.","The prescription number is [REDACTED]."
"The company’s EIN is 12-3456789.","The company’s EIN is [REDACTED]."
"My bank account balance is $5,678.90 as of 06/20/2024.","My bank account balance is $5,678.90 as of 06/20/2024."
"The user’s IP address is 203.0.113.1.","The user’s IP address is [REDACTED]."
"School registration ID: 54321","School registration ID: [REDACTED]"
"The confirmation number for your order is ABCDEFGH1234.","The confirmation number for your order is [REDACTED]."
"John’s medical insurance policy is HP123456.","John’s medical insurance policy is [REDACTED]."
"The tax filing number is TF987654321.","The tax filing number is [REDACTED]."
"Please send the documents to our office at 123 Corporate Blvd.","Please send the documents to our office at [REDACTED]."
"The webinar link is https://webinar.company.com?id=123456","The webinar link is [REDACTED]."
"Dear Mr. John Smith, Your loan application for 123 Main St, Springfield, IL has been approved. The loan number 54321 is valid till 12/2024. Please contact us at john.doe@example.com or 555-123-4567 for further details.","Dear Mr. [REDACTED], Your loan application for [REDACTED], Springfield, IL has been approved. The loan number [REDACTED] is valid till 12/2024. Please contact us at [REDACTED] or [REDACTED] for further details."
"Hello team, our next meeting will be held at 555 Elm Street on July 15th. Bring the reports. By the way, my social security number is 123-45-6789 and my bank account number is 987654321.","Hello team, our next meeting will be held at [REDACTED] on July 15th. Bring the reports. By the way, my social security number is [REDACTED] and my bank account number is [REDACTED]."
"To whom it may concern, Please remit payment to account number 112233445566 for the invoice INV-2024-00123. Also, Alice's date of birth is 05/12/1985.","To whom it may concern, Please remit payment to account number [REDACTED] for the invoice [REDACTED]. Also, Alice's date of birth is [REDACTED]."
"Dear Dr. Smith, please see the attached medical record for patient MR123456. The health insurance number is ABC123456. Additionally, contact me at jane.doe@company.com.","Dear Dr. Smith, please see the attached medical record for patient [REDACTED]. The health insurance number is [REDACTED]. Additionally, contact me at [REDACTED]."
"Hi Bob, the project code XYZ-12345 must be reviewed before Q3. For security reasons, use code 7890. P.S. my father’s name is Robert Johnson and his email is robert.johnson@example.com.","Hi Bob, the project code [REDACTED] must be reviewed before Q3. For security reasons, use code [REDACTED]. P.S. my father’s name is [REDACTED] and his email is [REDACTED]."
"Our server IP address is 192.168.1.1 and the shipment will arrive on tracking number 1Z9999999999999999. Please update the inventory. Regards, John Doe, johndoe@example.com.","Our server IP address is [REDACTED] and the shipment will arrive on tracking number [REDACTED]. Please update the inventory. Regards, [REDACTED], [REDACTED]."
"Hi Sarah, can you please confirm the bank account details for the transfer? My account number is 112233445566, and the routing number is 123456789. Thanks, John.","Hi Sarah, can you please confirm the bank account details for the transfer? My account number is [REDACTED], and the routing number is [REDACTED]. Thanks, John."
"Please find the attached lease agreement for 456 Oak St, Metropolis, NY. The tenant, John Smith (SSN: 123-45-6789), will move in on 08/01/2024.","Please find the attached lease agreement for [REDACTED], Metropolis, NY. The tenant, [REDACTED] (SSN: [REDACTED]), will move in on 08/01/2024."
"Hi team, our new member Alice (alice.doe@company.com) will join us from next week. Her employee ID is E12345, and her office address is 1234 Health Ave.","Hi team, our new member Alice ([REDACTED]) will join us from next week. Her employee ID is [REDACTED], and her office address is [REDACTED]."
"Hi Dr. White, the patient's insurance claim number IC123456 needs processing. Also, here is the emergency contact: Maria, 555-987-6543.","Hi Dr. White, the patient's insurance claim number [REDACTED] needs processing. Also, here is the emergency contact: Maria, [REDACTED]."
"Hi John, please ensure the warranty ID WTY2024-5678 is registered before the end of the month. And don’t forget, my passport number is X1234567.","Hi John, please ensure the warranty ID [REDACTED] is registered before the end of the month. And don’t forget, my passport number is [REDACTED]."
"Dear customer, your order confirmation number is ABC123DEF. Please track the shipment with 1Z9999999999999999. For any queries, contact us at support@company.com.","Dear customer, your order confirmation number is [REDACTED]. Please track the shipment with [REDACTED]. For any queries, contact us at [REDACTED]."
"Hi team, the project deadline is 07/01/2024. Remember, the server IP address is 203.0.113.1 and our office number is 1-800-555-1234.","Hi team, the project deadline is 07/01/2024. Remember, the server IP address is [REDACTED] and our office number is [REDACTED]."
"Hello, the PIN for my account is 4321. Additionally, my vehicle registration number is ABC-1234.","Hello, the PIN for my account is [REDACTED]. Additionally, my vehicle registration number is [REDACTED]."
"Dear Sir/Madam, please see the attached files for the purchase history and invoice INV-2024-00123. The customer's email is john.doe@example.com.","Dear Sir/Madam, please see the attached files for the purchase history and invoice [REDACTED]. The customer's email is [REDACTED]."
"Hi team, please review the financial report for Q2, prepared by John Doe (john.doe@company.com).","Hi team, please review the financial report for Q2, prepared by [REDACTED]."
"Hi Bob, can you please verify the details of the customer? Name: Jane Doe, email: jane.doe@company.com, and phone: 555-123-4567.","Hi Bob, can you please verify the details of the customer? Name: [REDACTED], email: [REDACTED], and phone: [REDACTED]."
"Hi team, please see the attached minutes from the meeting held at 555 Elm Street. The guest speaker was Dr. John Smith (john.smith@example.com).","Hi team, please see the attached minutes from the meeting held at [REDACTED]. The guest speaker was Dr. [REDACTED] ([REDACTED])."
